[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: http_response_code(): Cannot set response code - headers already sent (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/ErrorHandler.php on line 78 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 17 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 20 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 23 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 26 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 36 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 44 | IP: 192.168.80.7
[2025-10-18 04:51:25] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:51:30] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: uncaught_exception | Resource: system | Details: Uncaught exception: Call to undefined function csrf_field() | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: http_response_code(): Cannot set response code - headers already sent (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/ErrorHandler.php on line 78 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 17 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 20 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 23 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 26 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 36 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 44 | IP: 192.168.80.7
[2025-10-18 04:51:33] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:55:24] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: uncaught_exception | Resource: system | Details: Uncaught exception: Call to undefined function csrf_field() | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: http_response_code(): Cannot set response code - headers already sent (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/ErrorHandler.php on line 78 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 17 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 20 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 23 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 26 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 36 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 44 | IP: 192.168.80.7
[2025-10-18 04:55:26] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: uncaught_exception | Resource: system | Details: Uncaught exception: Call to undefined function csrf_field() | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: http_response_code(): Cannot set response code - headers already sent (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/ErrorHandler.php on line 78 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 17 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 20 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 23 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 26 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 36 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 44 | IP: 192.168.80.7
[2025-10-18 04:56:02] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: uncaught_exception | Resource: system | Details: Uncaught exception: Call to undefined function csrf_field() | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: http_response_code(): Cannot set response code - headers already sent (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/ErrorHandler.php on line 78 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 17 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 20 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 23 | IP: 192.168.80.7
[2025-10-18 04:56:06] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 26 | IP: 192.168.80.7
